Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file USER32.DLL

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    2C90DD33 time date stamp Fri Sep 10 16:01:55 1993
        0.00 version
           1 ordinal base
         582 number of functions
         582 number of names

    ordinal hint RVA      name

        389  184 0001B3B6 PostMessageW
        390  185 000177D6 PostQuitMessage
        391  186 0001DBF6 PostThreadMessageA
        392  187 0001DDF6 PostThreadMessageW
        393  188 00005D76 PtInRect
        394  189 00024766 QuerySendMessage
        395  18A 00022E76 RedrawWindow
        396  18B 00013096 RegisterClassA
        397  18C 00014496 RegisterClassW
        398  18D 0000EC86 RegisterClassWOWA
        399  18E 00013466 RegisterClipboardFormatA
        400  18F 000258F6 RegisterClipboardFormatW
        401  190 000227F6 RegisterHotKey
        402  191 00021436 RegisterLogonProcess
        403  192 000214D6 RegisterTasklist
        404  193 0001B9A6 RegisterUserHungAppHandlers
        405  194 00013726 RegisterWindowMessageA
        406  195 000176A6 RegisterWindowMessageW
        407  196 0000DF46 ReleaseCapture
        408  197 00004B06 ReleaseDC
        409  198 00010106 RemoveMenu
        410  199 000267B6 RemovePropA
        411  19A 00025956 RemovePropW
        412  19B 00022866 ReplyMessage
        413  19C 00028BA6 ReuseDDElParam
        414  19D 000276B6 Rip
        415  19E 000276D6 RipOutput
        416  19F 0000F7B6 RtlFreeCursorIconResource
        417  1A0 0000A536 RtlGetExpWinVer
        418  1A1 0000F5C6 RtlGetIdFromDirectory
        419  1A2 0000EF36 RtlLoadCursorIconResource
        420  1A3 0000A966 RtlLoadStringOrError
        421  1A4 00004A96 RtlMBMessageWParamCharToWCS
        422  1A5 000044B6 RtlWCSMessageWParamCharToMB
        423  1A6 00007416 ScreenToClient
        424  1A7 000244E6 ScrollChildren
        425  1A8 0000D716 ScrollDC
        426  1A9 0001BAE6 ScrollWindow
        427  1AA 000228B6 ScrollWindowEx
        428  1AB 00014916 SendDlgItemMessageA
        429  1AC 0001E516 SendDlgItemMessageW
        430  1AD 00006316 SendMessageA
        431  1AE 0001DBB6 SendMessageCallbackA
        432  1AF 0001DDB6 SendMessageCallbackW
        433  1B0 0001DB66 SendMessageTimeoutA
        434  1B1 0001DD26 SendMessageTimeoutW
        435  1B2 000062D6 SendMessageW
        436  1B3 00019786 SendNotifyMessageA
        437  1B4 0001DD76 SendNotifyMessageW
        438  1B5 000147E6 ServerCreateDialog
        439  1B6 00008086 ServerLoadCreateCursorIcon
        440  1B7 00011D56 ServerLoadCreateMenu
